"","diff.fit","low","high","study","treat","bilat_0","age","se"
"12698",-0.0678481262854452,-0.241147158661688,0.11906243489563,"McCormick","Antibiotics","Bilateral",5.8,-0.241147158661688
"12700",-0.0627718316136041,-0.221467582650186,0.0975062928743806,"McCormick","Antibiotics","Unilateral",5.82,-0.221467582650186
"12702",-0.0668821008964562,-0.240692920244283,0.120747108998919,"McCormick","Antibiotics","Bilateral",5.84,-0.240692920244283
"12704",-0.0630541458980236,-0.222976250488195,0.0984180505797791,"McCormick","Antibiotics","Unilateral",5.86,-0.222976250488195
"12706",-0.0659237992976958,-0.240241822419736,0.122415349810104,"McCormick","Antibiotics","Bilateral",5.88,-0.240241822419736
"12708",-0.0633477841172976,-0.224524803923419,0.0993421912142887,"McCormick","Antibiotics","Unilateral",5.9,-0.224524803923419
"12710",-0.0649732241783453,-0.239793983702915,0.124067117720408,"McCormick","Antibiotics","Bilateral",5.92,-0.239793983702915
"12712",-0.0636527941456058,-0.226112783994255,0.10027790927535,"McCormick","Antibiotics","Unilateral",5.94,-0.226112783994255
"12714",-0.0640303769353775,-0.239349522160814,0.125702377910443,"McCormick","Antibiotics","Bilateral",5.96,-0.239349522160814
"12716",-0.0639691825168896,-0.227739702053136,0.101224461664828,"McCormick","Antibiotics","Unilateral",5.98,-0.227739702053136
"12718",-0.0630952576922736,-0.238908555217069,0.127321100214911,"McCormick","Antibiotics","Bilateral",6,-0.238908555217069
"12720",-0.0642968969753792,-0.229405020875772,0.102181193067791,"McCormick","Antibiotics","Unilateral",6.02,-0.229405020875772
"12722",-0.0621678653194798,-0.238471199463467,0.128923258982635,"McCormick","Antibiotics","Bilateral",6.04,-0.238471199463467
"12724",-0.0646358584488853,-0.231108191264135,0.103147497650183,"McCormick","Antibiotics","Unilateral",6.06,-0.231108191264135
"12726",-0.0612481974539579,-0.238037570482763,0.130508832945776,"McCormick","Antibiotics","Bilateral",6.08,-0.238037570482763
"12728",-0.0649859466054333,-0.23284862262092,0.104122826345498,"McCormick","Antibiotics","Unilateral",6.1,-0.23284862262092
"12730",-0.0603362505195194,-0.237607782677042,0.132077805087193,"McCormick","Antibiotics","Bilateral",6.12,-0.237607782677042
"12732",-0.0653470298778112,-0.234625680195912,0.105106611101847,"McCormick","Antibiotics","Unilateral",6.14,-0.234625680195912
"12734",-0.0594320197471031,-0.237181949107729,0.133630162513397,"McCormick","Antibiotics","Bilateral",6.16,-0.237181949107729
"12736",-0.0657189730779062,-0.236438682258451,0.106098243338747,"McCormick","Antibiotics","Unilateral",6.18,-0.236438682258451
"12738",-0.0585354991944621,-0.236760181345353,0.135165896334315,"McCormick","Antibiotics","Bilateral",6.2,-0.236760181345353
"12740",-0.0661016373154014,-0.238286893779491,0.107097067876888,"McCormick","Antibiotics","Unilateral",6.22,-0.238286893779491
"12742",-0.0576466817658827,-0.236342589328359,0.136685001546766,"McCormick","Antibiotics","Bilateral",6.24,-0.236342589328359
"12744",-0.0664948847184853,-0.240169538171399,0.10810238257891,"McCormick","Antibiotics","Unilateral",6.26,-0.240169538171399
"12746",-0.0567655592316206,-0.235929281232366,0.138187476923837,"McCormick","Antibiotics","Bilateral",6.28,-0.235929281232366
"12748",-0.0668985680966243,-0.242085813169394,0.109113481052087,"McCormick","Antibiotics","Unilateral",6.3,-0.242085813169394
"12750",-0.0558921222472743,-0.235520363346767,0.139673324907665,"McCormick","Antibiotics","Bilateral",6.32,-0.235520363346767
"12752",-0.0673125243690706,-0.244034892021862,0.110129671793551,"McCormick","Antibiotics","Unilateral",6.34,-0.244034892021862
"12754",-0.0550263603736149,-0.235115939958855,0.141142551502807,"McCormick","Antibiotics","Bilateral",6.36,-0.235115939958855
"12756",-0.0677365774739249,-0.246015947580371,0.111150295528878,"McCormick","Antibiotics","Unilateral",6.38,-0.246015947580371
"12758",-0.0541682620961443,-0.234716113245779,0.142595166174225,"McCormick","Antibiotics","Bilateral",6.4,-0.234716113245779
