"","diff.fit","low","high","study","treat","bilat_0","age","se"
"2",-0.26171543161469,-0.429856891487467,-0.113496172080289,"Damoiseaux","Antibiotics","Bilateral",0.01,-0.429856891487467
"4",-0.0617207795333089,-0.30028689062371,0.167175637184071,"Damoiseaux","Antibiotics","Unilateral",0.03,-0.30028689062371
"6",-0.260714806962868,-0.426362592722697,-0.114362621078333,"Damoiseaux","Antibiotics","Bilateral",0.05,-0.426362592722697
"8",-0.0620406108951401,-0.295868089024334,0.16244290259773,"Damoiseaux","Antibiotics","Unilateral",0.07,-0.295868089024334
"10",-0.259710570596373,-0.42290841541226,-0.115201312002408,"Damoiseaux","Antibiotics","Bilateral",0.09,-0.42290841541226
"12",-0.0623520651864425,-0.291461414038754,0.157738107223887,"Damoiseaux","Antibiotics","Unilateral",0.11,-0.291461414038754
"14",-0.258702762028536,-0.419496462522239,-0.116010230501415,"Damoiseaux","Antibiotics","Bilateral",0.13,-0.419496462522239
"16",-0.0626549713104879,-0.287075729397593,0.153069127367105,"Damoiseaux","Antibiotics","Unilateral",0.15,-0.287075729397593
"18",-0.257691421070376,-0.416128905708566,-0.116787281396934,"Damoiseaux","Antibiotics","Bilateral",0.17,-0.416128905708566
"20",-0.0629491855486558,-0.282720746783537,0.14844460862028,"Damoiseaux","Antibiotics","Unilateral",0.19,-0.282720746783537
"22",-0.256676587828754,-0.412807984617137,-0.11753028934375,"Damoiseaux","Antibiotics","Bilateral",0.21,-0.412807984617137
"24",-0.0632345716219834,-0.278406622957765,0.143873657922896,"Damoiseaux","Antibiotics","Unilateral",0.23,-0.278406622957765
"26",-0.255658302703567,-0.409536005597396,-0.118237000104622,"Damoiseaux","Antibiotics","Bilateral",0.25,-0.409536005597396
"28",-0.0635109993964004,-0.274143930966516,0.139365828181673,"Damoiseaux","Antibiotics","Unilateral",0.27,-0.274143930966516
"30",-0.254636606383873,-0.406315339677428,-0.118905082578211,"Damoiseaux","Antibiotics","Bilateral",0.29,-0.406315339677428
"32",-0.0637783450427736,-0.269943633285663,0.134931100143768,"Damoiseaux","Antibiotics","Unilateral",0.31,-0.269943633285663
"34",-0.253611539843944,-0.403148419687011,-0.119532131693676,"Damoiseaux","Antibiotics","Bilateral",0.33,-0.403148419687011
"36",-0.0640364911872626,-0.265817047328649,0.130579856312594,"Damoiseaux","Antibiotics","Unilateral",0.35,-0.265817047328649
"38",-0.252583144339276,-0.400037736422731,-0.120115672277973,"Damoiseaux","Antibiotics","Bilateral",0.37,-0.400037736422731
"40",-0.0642853270516454,-0.261775802125515,0.126322845617368,"Damoiseaux","Antibiotics","Unilateral",0.39,-0.261775802125515
"42",-0.251551461402527,-0.396985833748129,-0.120653164002993,"Damoiseaux","Antibiotics","Bilateral",0.41,-0.396985833748129
"44",-0.064524748583309,-0.25783178489749,0.122171137468638,"Damoiseaux","Antibiotics","Unilateral",0.43,-0.25783178489749
"46",-0.250516532839406,-0.393995302523592,-0.121142007517861,"Damoiseaux","Antibiotics","Bilateral",0.45,-0.393995302523592
"48",-0.0647546585746268,-0.253997076217281,0.118136063803592,"Damoiseaux","Antibiotics","Unilateral",0.47,-0.253997076217281
"50",-0.249478400724497,-0.391068773266145,-0.121579551866294,"Damoiseaux","Antibiotics","Bilateral",0.49,-0.391068773266145
"52",-0.0649749664749876,-0.250283872825709,0.114229148674448,"Damoiseaux","Antibiotics","Unilateral",0.51,-0.250283872825709
"54",-0.24843710739731,-0.388208907451228,-0.12196310327788,"Damoiseaux","Antibiotics","Bilateral",0.53,-0.388208907451228
"56",-0.0651855718570962,-0.246704475933077,0.110462129361042,"Damoiseaux","Antibiotics","Unilateral",0.55,-0.246704475933077
"58",-0.24739269545836,-0.385418387403592,-0.122289935389871,"Damoiseaux","Antibiotics","Bilateral",0.57,-0.385418387403592
"60",-0.0653863571929033,-0.243271482209626,0.10684714729466,"Damoiseaux","Antibiotics","Unilateral",0.59,-0.243271482209626
"62",-0.246345207762255,-0.382699904688153,-0.122557300975303,"Damoiseaux","Antibiotics","Bilateral",0.61,-0.382699904688153
"64",-0.0655772038583629,-0.239997663929092,0.103396604398179,"Damoiseaux","Antibiotics","Unilateral",0.63,-0.239997663929092
"66",-0.245294687411336,-0.380056146938299,-0.122762445241646,"Damoiseaux","Antibiotics","Bilateral",0.65,-0.380056146938299
"68",-0.0657580071060053,-0.236895489406667,0.100122683999091,"Damoiseaux","Antibiotics","Unilateral",0.67,-0.236895489406667
"70",-0.244241177751151,-0.377489783148103,-0.122902620680416,"Damoiseaux","Antibiotics","Bilateral",0.69,-0.377489783148103
"72",-0.0659286722767394,-0.233976532050385,0.0970367994113395,"Damoiseaux","Antibiotics","Unilateral",0.71,-0.233976532050385
"74",-0.243184722365561,-0.375003447497799,-0.12297510339818,"Damoiseaux","Antibiotics","Bilateral",0.73,-0.375003447497799
"76",-0.0660891376143046,-0.231250854272628,0.0941489623078798,"Damoiseaux","Antibiotics","Unilateral",0.75,-0.231250854272628
"78",-0.242125365071144,-0.372599721786116,-0.122977210851409,"Damoiseaux","Antibiotics","Bilateral",0.77,-0.372599721786116
"80",-0.0662393799042672,-0.228726303713436,0.0914670954890071,"Damoiseaux","Antibiotics","Unilateral",0.79,-0.228726303713436
"82",-0.241063149915256,-0.370281116642464,-0.122906320825988,"Damoiseaux","Antibiotics","Bilateral",0.81,-0.370281116642464
"84",-0.0663793868057294,-0.226408088734348,0.0889966683304885,"Damoiseaux","Antibiotics","Unilateral",0.83,-0.226408088734348
"86",-0.239998121172768,-0.368050051726939,-0.122759891444551,"Damoiseaux","Antibiotics","Bilateral",0.85,-0.368050051726939
"88",-0.0665091731609366,-0.224298596276703,0.0867404739512727,"Damoiseaux","Antibiotics","Unilateral",0.87,-0.224298596276703
"90",-0.23893032333891,-0.365908835132898,-0.122535481975029,"Damoiseaux","Antibiotics","Bilateral",0.89,-0.365908835132898
"92",-0.0666287959134529,-0.222397234666981,0.0846984309705241,"Damoiseaux","Antibiotics","Unilateral",0.91,-0.222397234666981
"94",-0.237859801125971,-0.363859642314972,-0.122230774134987,"Damoiseaux","Antibiotics","Bilateral",0.93,-0.363859642314972
"96",-0.0667383425762448,-0.220700500631698,0.0828676487564966,"Damoiseaux","Antibiotics","Unilateral",0.95,-0.220700500631698
"98",-0.236786599460877,-0.361904494912098,-0.121843593517222,"Damoiseaux","Antibiotics","Bilateral",0.97,-0.361904494912098
"100",-0.0668379078512796,-0.219202320642639,0.0812427762236251,"Damoiseaux","Antibiotics","Unilateral",0.99,-0.219202320642639
"102",-0.235710763484501,-0.360045239871539,-0.121371930731938,"Damoiseaux","Antibiotics","Bilateral",1.01,-0.360045239871539
"104",-0.0669276151253641,-0.217894742253276,0.0798165957618281,"Damoiseaux","Antibiotics","Unilateral",1.03,-0.217894742253276
"106",-0.234632338545984,-0.358283529288361,-0.120813961833766,"Damoiseaux","Antibiotics","Bilateral",1.05,-0.358283529288361
"108",-0.0670076425210093,-0.216768689153914,0.0785806766476246,"Damoiseaux","Antibiotics","Unilateral",1.07,-0.216768689153914
"110",-0.233551370197899,-0.356620801403982,-0.120168067598856,"Damoiseaux","Antibiotics","Bilateral",1.09,-0.356620801403982
"112",-0.067078219536389,-0.215814661379094,0.0775260374947558,"Damoiseaux","Antibiotics","Unilateral",1.11,-0.215814661379094
"114",-0.232467904194383,-0.35505826324001,-0.119432851181884,"Damoiseaux","Antibiotics","Bilateral",1.13,-0.35505826324001
"116",-0.0671395967155153,-0.215023346170325,0.0766437912266094,"Damoiseaux","Antibiotics","Unilateral",1.15,-0.215023346170325
"118",-0.231381986486032,-0.353596875268121,-0.118607153732182,"Damoiseaux","Antibiotics","Bilateral",1.17,-0.353596875268121
"120",-0.0671920284858934,-0.214385627939419,0.0759252018623545,"Damoiseaux","Antibiotics","Unilateral",1.19,-0.214385627939419
"122",-0.230293663209779,-0.352237338526284,-0.117690067556933,"Damoiseaux","Antibiotics","Bilateral",1.21,-0.352237338526284
"124",-0.0672357872348149,-0.213892589482252,0.0753616569529367,"Damoiseaux","Antibiotics","Unilateral",1.23,-0.213892589482252
"126",-0.229202980683192,-0.350980084604795,-0.116680946433862,"Damoiseaux","Antibiotics","Bilateral",1.25,-0.350980084604795
"128",-0.0672711631962529,-0.213535536860471,0.07494469360909,"Damoiseaux","Antibiotics","Unilateral",1.27,-0.213535536860471
"130",-0.228109985398867,-0.349825268777468,-0.115579412787354,"Damoiseaux","Antibiotics","Bilateral",1.29,-0.349825268777468
"132",-0.0672984710026032,-0.213306059545198,0.0746660421557754,"Damoiseaux","Antibiotics","Unilateral",1.31,-0.213306059545198
"134",-0.227014724020032,-0.348772766490191,-0.114385361518621,"Damoiseaux","Antibiotics","Bilateral",1.33,-0.348772766490191
"136",-0.067318041161586,-0.213196079458246,0.0745176925293859,"Damoiseaux","Antibiotics","Unilateral",1.35,-0.213196079458246
"138",-0.225917243376422,-0.347822173305957,-0.113098960387227,"Damoiseaux","Antibiotics","Bilateral",1.37,-0.347822173305957
"140",-0.0673302132897846,-0.213197826393261,0.074491887543304,"Damoiseaux","Antibiotics","Unilateral",1.39,-0.213197826393261
"142",-0.224817590459523,-0.346972808312605,-0.111720646935859,"Damoiseaux","Antibiotics","Bilateral",1.41,-0.346972808312605
"144",-0.0673353298300291,-0.213303757596935,0.0745810619990504,"Damoiseaux","Antibiotics","Unilateral",1.43,-0.213303757596935
"146",-0.223715812417104,-0.346223720901305,-0.110251122050388,"Damoiseaux","Antibiotics","Bilateral",1.45,-0.346223720901305
"148",-0.0673337359304464,-0.213506462793178,0.0747777537061741,"Damoiseaux","Antibiotics","Unilateral",1.47,-0.213506462793178
"150",-0.222611956547096,-0.345573700730464,-0.108691340341428,"Damoiseaux","Antibiotics","Bilateral",1.49,-0.345573700730464
"152",-0.0673257803920319,-0.213798604555391,0.0750745446371529,"Damoiseaux","Antibiotics","Unilateral",1.51,-0.213798604555391
"154",-0.221506070292236,-0.345021290600622,-0.107042497624782,"Damoiseaux","Antibiotics","Bilateral",1.53,-0.345021290600622
"156",-0.0673118156925234,-0.214172879310664,0.0754640231436809,"Damoiseaux","Antibiotics","Unilateral",1.55,-0.214172879310664
"158",-0.220398201234643,-0.344564801886801,-0.105306015852216,"Damoiseaux","Antibiotics","Bilateral",1.57,-0.344564801886801
"160",-0.0672921957136431,-0.2146220025076,0.0759387738321056,"Damoiseaux","Antibiotics","Unilateral",1.59,-0.2146220025076
"162",-0.219288397089969,-0.344202332120158,-0.103483525899694,"Damoiseaux","Antibiotics","Bilateral",1.61,-0.344202332120158
"164",-0.067267279468365,-0.215138746010516,0.0764914029580666,"Damoiseaux","Antibiotics","Unilateral",1.63,-0.215138746010516
"166",-0.218176705701254,-0.343931784279616,-0.101576848653021,"Damoiseaux","Antibiotics","Bilateral",1.65,-0.343931784279616
"168",-0.067237434354205,-0.21571606016392,0.0771146442784218,"Damoiseaux","Antibiotics","Unilateral",1.67,-0.21571606016392
"170",-0.217063175035159,-0.343750887333148,-0.0995879748556098,"Damoiseaux","Antibiotics","Bilateral",1.69,-0.343750887333148
"172",-0.0672030134804394,-0.216347134100328,0.0778014675272983,"Damoiseaux","Antibiotics","Unilateral",1.71,-0.216347134100328
"174",-0.215947853177733,-0.343657217542225,-0.0975190441953666,"Damoiseaux","Antibiotics","Bilateral",1.73,-0.343657217542225
"176",-0.0671643597012348,-0.217025409004698,0.0785450821330599,"Damoiseaux","Antibiotics","Unilateral",1.75,-0.217025409004698
"178",-0.214830788327999,-0.343648220099084,-0.0953723240592028,"Damoiseaux","Antibiotics","Bilateral",1.77,-0.343648220099084
"180",-0.0671218047945351,-0.217744605710395,0.079338966004899,"Damoiseaux","Antibiotics","Unilateral",1.79,-0.217744605710395
"182",-0.213712028791985,-0.343721230688108,-0.0931501883680732,"Damoiseaux","Antibiotics","Bilateral",1.81,-0.343721230688108
"184",-0.0670756744718503,-0.218498770725599,0.0801768972991347,"Damoiseaux","Antibiotics","Unilateral",1.83,-0.218498770725599
"186",-0.212591622976117,-0.343873496608309,-0.0908550968534652,"Damoiseaux","Antibiotics","Bilateral",1.85,-0.343873496608309
"188",-0.0670262914975189,-0.219282380836563,0.0810530451951235,"Damoiseaux","Antibiotics","Unilateral",1.87,-0.219282380836563
"190",-0.211469619381659,-0.344102197142795,-0.0884895750918989,"Damoiseaux","Antibiotics","Bilateral",1.89,-0.344102197142795
"192",-0.0669739690251068,-0.220090432081649,0.081962072676406,"Damoiseaux","Antibiotics","Unilateral",1.91,-0.220090432081649
"194",-0.210346066600579,-0.344404462896928,-0.0860561955729637,"Damoiseaux","Antibiotics","Bilateral",1.93,-0.344404462896928
"196",-0.0669190107364906,-0.220918436662491,0.0828991351746086,"Damoiseaux","Antibiotics","Unilateral",1.95,-0.220918436662491
"198",-0.209221013307187,-0.344777393904189,-0.0835575599920196,"Damoiseaux","Antibiotics","Bilateral",1.97,-0.344777393904189
"200",-0.0668617243966747,-0.221762623507086,0.0838600280928941,"Damoiseaux","Antibiotics","Unilateral",1.99,-0.221762623507086
"202",-0.208094508249353,-0.345218076393156,-0.0809962828861659,"Damoiseaux","Antibiotics","Bilateral",2.01,-0.345218076393156
"204",-0.0668024102563638,-0.222620272441306,0.0848415391134509,"Damoiseaux","Antibiotics","Unilateral",2.03,-0.222620272441306
"206",-0.206966600246694,-0.345723598067605,-0.0783749767657866,"Damoiseaux","Antibiotics","Bilateral",2.05,-0.345723598067605
"208",-0.066741352677392,-0.223489718548138,0.0858414856575808,"Damoiseaux","Antibiotics","Unilateral",2.07,-0.223489718548138
"210",-0.205837338185425,-0.346291061819557,-0.0756962387996456,"Damoiseaux","Antibiotics","Bilateral",2.09,-0.346291061819557
"212",-0.0666788211819716,-0.224370191897299,0.0868585716007474,"Damoiseaux","Antibiotics","Unilateral",2.11,-0.224370191897299
"214",-0.20470677101383,-0.346917597883399,-0.0729626390541089,"Damoiseaux","Antibiotics","Bilateral",2.13,-0.346917597883399
"216",-0.0666150744979778,-0.225261529652884,0.0878921093010333,"Damoiseaux","Antibiotics","Unilateral",2.15,-0.225261529652884
"218",-0.203574947737081,-0.347600374464791,-0.0701767102514771,"Damoiseaux","Antibiotics","Bilateral",2.17,-0.347600374464791
"220",-0.0665503643698234,-0.226163867809829,0.088941718972177,"Damoiseaux","Antibiotics","Unilateral",2.19,-0.226163867809829
"222",-0.202441917411404,-0.348336606906118,-0.0673409389865337,"Damoiseaux","Antibiotics","Bilateral",2.21,-0.348336606906118
"224",-0.0664849368001281,-0.227077438103199,0.0900071212168039,"Damoiseaux","Antibiotics","Unilateral",2.23,-0.227077438103199
"226",-0.201307729136592,-0.349123565483073,-0.0644577583074135,"Damoiseaux","Antibiotics","Bilateral",2.25,-0.349123565483073
"228",-0.0664190318130028,-0.228002547953814,0.0910881132108049,"Damoiseaux","Antibiotics","Unilateral",2.27,-0.228002547953814
"230",-0.200172432049577,-0.349958581912301,-0.061529541583317,"Damoiseaux","Antibiotics","Bilateral",2.29,-0.349958581912301
"232",-0.0663528837827037,-0.228939587755709,0.0921845751683172,"Damoiseaux","Antibiotics","Unilateral",2.31,-0.228939587755709
"234",-0.199036075318574,-0.350839054653837,-0.0585585975718398,"Damoiseaux","Antibiotics","Bilateral",2.33,-0.350839054653837
"236",-0.0662867254218614,-0.229888973462527,0.093296414889719,"Damoiseaux","Antibiotics","Unilateral",2.35,-0.229888973462527
"238",-0.197898708138439,-0.351762453101492,-0.0555471665919121,"Damoiseaux","Antibiotics","Bilateral",2.37,-0.351762453101492
"240",-0.0662207875804801,-0.230851013966159,0.094423439452451,"Damoiseaux","Antibiotics","Unilateral",2.39,-0.230851013966159
"242",-0.196760379724766,-0.352726320783663,-0.0524974176776646,"Damoiseaux","Antibiotics","Bilateral",2.41,-0.352726320783663
"244",-0.0661552965115859,-0.231825885800805,0.0955653283769232,"Damoiseaux","Antibiotics","Unilateral",2.43,-0.231825885800805
"246",-0.195621139307709,-0.353728277692689,-0.0494114465969908,"Damoiseaux","Antibiotics","Bilateral",2.45,-0.353728277692689
"248",-0.0660904778871612,-0.232813613532672,0.0967216111024887,"Damoiseaux","Antibiotics","Unilateral",2.47,-0.232813613532672
"250",-0.194481036126472,-0.354766021829204,-0.0462912746479361,"Damoiseaux","Antibiotics","Bilateral",2.49,-0.354766021829204
"252",-0.0660265488789705,-0.23381411710102,0.0978917125181757,"Damoiseaux","Antibiotics","Unilateral",2.51,-0.23381411710102
"254",-0.193340119421283,-0.355837330085872,-0.0431388481057333,"Damoiseaux","Antibiotics","Bilateral",2.53,-0.355837330085872
"256",-0.0659637298110991,-0.234827347621385,0.0990750714671256,"Damoiseaux","Antibiotics","Unilateral",2.55,-0.234827347621385
"258",-0.192198438428203,-0.356940058524792,-0.0399560382685285,"Damoiseaux","Antibiotics","Bilateral",2.57,-0.356940058524792
"260",-0.0659022453299853,-0.235853189382529,0.10027104862774,"Damoiseaux","Antibiotics","Unilateral",2.59,-0.235853189382529
"262",-0.191056042374555,-0.358072142142879,-0.0367446420072505,"Damoiseaux","Antibiotics","Bilateral",2.61,-0.358072142142879
"264",-0.065842321056241,-0.236891415850033,0.101478887016479,"Damoiseaux","Antibiotics","Unilateral",2.63,-0.236891415850033
"266",-0.189912980473748,-0.359231594222522,-0.0335063827209612,"Damoiseaux","Antibiotics","Bilateral",2.65,-0.359231594222522
"268",-0.0657841784248268,-0.237941750946429,0.102697770015227,"Damoiseaux","Antibiotics","Unilateral",2.67,-0.237941750946429
"270",-0.188769301918288,-0.360416505342619,-0.0302429116201462,"Damoiseaux","Antibiotics","Bilateral",2.69,-0.360416505342619
"272",-0.0657280408895559,-0.239003956319641,0.103926901689069,"Damoiseaux","Antibiotics","Unilateral",2.71,-0.239003956319641
"274",-0.187625055873995,-0.361625042087894,-0.0269558093014516,"Damoiseaux","Antibiotics","Bilateral",2.73,-0.361625042087894
"276",-0.065674133768971,-0.240077801735242,0.105165481301459,"Damoiseaux","Antibiotics","Unilateral",2.75,-0.240077801735242
"278",-0.186480291475245,-0.362855445522611,-0.0236465875500612,"Damoiseaux","Antibiotics","Bilateral",2.77,-0.362855445522611
"280",-0.0656226813523797,-0.241163088506051,0.106412726456488,"Damoiseaux","Antibiotics","Unilateral",2.79,-0.241163088506051
"282",-0.185335057818951,-0.364106029485994,-0.0203166913075102,"Damoiseaux","Antibiotics","Bilateral",2.81,-0.364106029485994
"284",-0.0655739083793561,-0.242259648844934,0.10766787608861,"Damoiseaux","Antibiotics","Unilateral",2.83,-0.242259648844934
"286",-0.184189403959745,-0.365375178742387,-0.0169675007757912,"Damoiseaux","Antibiotics","Bilateral",2.85,-0.365375178742387
"288",-0.0655280373781886,-0.243367379300902,0.108930218962192,"Damoiseaux","Antibiotics","Unilateral",2.87,-0.243367379300902
"290",-0.183043378903737,-0.366661347037556,-0.0136003336025996,"Damoiseaux","Antibiotics","Bilateral",2.89,-0.366661347037556
"292",-0.0654852899462622,-0.244486283356566,0.110199141981026,"Damoiseaux","Antibiotics","Unilateral",2.91,-0.244486283356566
"294",-0.181897031602983,-0.367963055074951,-0.0102164471349821,"Damoiseaux","Antibiotics","Bilateral",2.93,-0.367963055074951
"296",-0.0654458858987033,-0.245616476893756,0.111474131300197,"Damoiseaux","Antibiotics","Unilateral",2.95,-0.245616476893756
"298",-0.180750410949968,-0.369278888454331,-0.00681704070055078,"Damoiseaux","Antibiotics","Bilateral",2.97,-0.369278888454331
"300",-0.0654100428028145,-0.246758241344599,0.112754828766745,"Damoiseaux","Antibiotics","Unilateral",2.99,-0.246758241344599
"302",-0.12377871694568,-0.30625254098429,0.051744636414102,"Damoiseaux","Antibiotics","Bilateral",0,-0.30625254098429
"304",-0.061639531734386,-0.301392564741063,0.168362378785671,"Damoiseaux","Antibiotics","Unilateral",0.02,-0.301392564741063
"306",-0.260965303260888,-0.427232486662333,-0.114148534240962,"Damoiseaux","Antibiotics","Bilateral",0.04,-0.427232486662333
"308",-0.0619614317387086,-0.296971967444611,0.163623744687219,"Damoiseaux","Antibiotics","Unilateral",0.06,-0.296971967444611
"310",-0.259961966130524,-0.423768084524459,-0.114994350366859,"Damoiseaux","Antibiotics","Bilateral",0.08,-0.423768084524459
"312",-0.0622749970899227,-0.292561483483597,0.158911275458615,"Damoiseaux","Antibiotics","Unilateral",0.1,-0.292561483483597
"314",-0.258955046892269,-0.420345374612014,-0.115810905244518,"Damoiseaux","Antibiotics","Bilateral",0.12,-0.420345374612014
"316",-0.0625800541877416,-0.288169659529733,0.154232549855437,"Damoiseaux","Antibiotics","Unilateral",0.14,-0.288169659529733
"318",-0.257944585283202,-0.416966511451432,-0.116596123864571,"Damoiseaux","Antibiotics","Bilateral",0.16,-0.416966511451432
"320",-0.0628764544099152,-0.283806065965937,0.149596079773028,"Damoiseaux","Antibiotics","Unilateral",0.18,-0.283806065965937
"322",-0.256930621336336,-0.413633717786301,-0.117347850830011,"Damoiseaux","Antibiotics","Bilateral",0.2,-0.413633717786301
"324",-0.0631640599673663,-0.27948075207622,0.145010858645175,"Damoiseaux","Antibiotics","Unilateral",0.22,-0.27948075207622
"326",-0.25591319537867,-0.41034928344902,-0.11806385146805,"Damoiseaux","Antibiotics","Bilateral",0.24,-0.41034928344902
"328",-0.0634427391744235,-0.275204189079621,0.140486329302186,"Damoiseaux","Antibiotics","Unilateral",0.26,-0.275204189079621
"330",-0.254892348027338,-0.407115563532652,-0.11874181365765,"Damoiseaux","Antibiotics","Bilateral",0.28,-0.407115563532652
"332",-0.0637123666112401,-0.270987245010344,0.1360323676444,"Damoiseaux","Antibiotics","Unilateral",0.3,-0.270987245010344
"334",-0.253868120185681,-0.403934975736825,-0.119379350497616,"Damoiseaux","Antibiotics","Bilateral",0.32,-0.403934975736825
"336",-0.0639728232766023,-0.26684115224261,0.131659258664302,"Damoiseaux","Antibiotics","Unilateral",0.34,-0.26684115224261
"338",-0.252840553039268,-0.400809996782358,-0.119974003920667,"Damoiseaux","Antibiotics","Bilateral",0.36,-0.400809996782358
"340",-0.0642239967307871,-0.262777466493902,0.127377663553479,"Damoiseaux","Antibiotics","Unilateral",0.38,-0.262777466493902
"342",-0.25180968805185,-0.397743157787651,-0.120523249360616,"Damoiseaux","Antibiotics","Bilateral",0.4,-0.397743157787651
"344",-0.0644657812281661,-0.258808016048171,0.123198576542516,"Damoiseaux","Antibiotics","Unilateral",0.42,-0.258808016048171
"346",-0.25077556696126,-0.39473703850078,-0.121024501578731,"Damoiseaux","Antibiotics","Bilateral",0.44,-0.39473703850078
"348",-0.0646980778392666,-0.254944839891882,0.119133270078725,"Damoiseaux","Antibiotics","Unilateral",0.46,-0.254944839891882
"350",-0.24973823177526,-0.391794260285722,-0.121475121750919,"Damoiseaux","Antibiotics","Bilateral",0.48,-0.391794260285722
"352",-0.0649207945542983,-0.251200113482482,0.115193226995151,"Damoiseaux","Antibiotics","Unilateral",0.5,-0.251200113482482
"354",-0.248697724767426,-0.388917477770315,-0.12187242590844,"Damoiseaux","Antibiotics","Bilateral",0.52,-0.388917477770315
"356",-0.0651338363821826,-0.247586097012731,0.111390111671855,"Damoiseaux","Antibiotics","Unilateral",0.54,-0.247586097012731
"358",-0.247654088473624,-0.386109369094485,-0.12221369479808,"Damoiseaux","Antibiotics","Bilateral",0.56,-0.386109369094485
"360",-0.0653370881615902,-0.244115306583762,0.10773596207792,"Damoiseaux","Antibiotics","Unilateral",0.58,-0.244115306583762
"362",-0.246607365685537,-0.383372624686988,-0.122496185223478,"Damoiseaux","Antibiotics","Bilateral",0.6,-0.383372624686988
"364",-0.0655304298140477,-0.24080050291462,0.104243148626942,"Damoiseaux","Antibiotics","Unilateral",0.62,-0.24080050291462
"366",-0.245557599444108,-0.380709934484113,-0.122717142950976,"Damoiseaux","Antibiotics","Bilateral",0.64,-0.380709934484113
"368",-0.0657137531314898,-0.237654287799685,0.100923963417295,"Damoiseaux","Antibiotics","Unilateral",0.66,-0.237654287799685
"370",-0.244504833034447,-0.378123973599808,-0.122873817176726,"Damoiseaux","Antibiotics","Bilateral",0.68,-0.378123973599808
"372",-0.0658869607049924,-0.234688511449721,0.097790063182088,"Damoiseaux","Antibiotics","Unilateral",0.7,-0.234688511449721
"374",-0.243449109981462,-0.375617386512258,-0.122963476494034,"Damoiseaux","Antibiotics","Bilateral",0.72,-0.375617386512258
"376",-0.0660499792780624,-0.231913681584202,0.0948518809530904,"Damoiseaux","Antibiotics","Unilateral",0.74,-0.231913681584202
"378",-0.242390474043797,-0.373192769833063,-0.122983426287357,"Damoiseaux","Antibiotics","Bilateral",0.76,-0.373192769833063
"380",-0.0662027783379612,-0.229338253733062,0.0921179098910756,"Damoiseaux","Antibiotics","Unilateral",0.78,-0.229338253733062
"382",-0.241328969211265,-0.370852653804009,-0.12293102742105,"Damoiseaux","Antibiotics","Bilateral",0.8,-0.370852653804009
"384",-0.066345344791184,-0.226968117913291,0.0895942512720978,"Damoiseaux","Antibiotics","Unilateral",0.82,-0.226968117913291
"386",-0.240264639702539,-0.368599482731835,-0.122803716009851,"Damoiseaux","Antibiotics","Bilateral",0.84,-0.368599482731835
"388",-0.0664776822036279,-0.224806382831709,0.0872843933820704,"Damoiseaux","Antibiotics","Unilateral",0.86,-0.224806382831709
"390",-0.239197529958156,-0.366435594564899,-0.122599024051055,"Damoiseaux","Antibiotics","Bilateral",0.88,-0.366435594564899
"392",-0.0665998386205903,-0.222853206671526,0.0851889771907482,"Damoiseaux","Antibiotics","Unilateral",0.9,-0.222853206671526
"394",-0.238127684636477,-0.364363199905296,-0.122314600639492,"Damoiseaux","Antibiotics","Bilateral",0.92,-0.364363199905296
"396",-0.0667118952995492,-0.221105793983374,0.083305794541223,"Damoiseaux","Antibiotics","Unilateral",0.94,-0.221105793983374
"398",-0.237055148610745,-0.362384360821939,-0.121948233398499,"Damoiseaux","Antibiotics","Bilateral",0.96,-0.362384360821939
"400",-0.0668139464415952,-0.219558661508828,0.0816300593123213,"Damoiseaux","Antibiotics","Unilateral",0.98,-0.219558661508828
"402",-0.235979966968749,-0.360500969860198,-0.121497869733803,"Damoiseaux","Antibiotics","Bilateral",1,-0.360500969860198
"404",-0.0669061036481144,-0.21820425136457,0.0801549597677186,"Damoiseaux","Antibiotics","Unilateral",1.02,-0.21820425136457
"406",-0.234902185008106,-0.358714729662829,-0.120961637478927,"Damoiseaux","Antibiotics","Bilateral",1.04,-0.358714729662829
"408",-0.0669885315881576,-0.21703370425659,0.0788723080020726,"Damoiseaux","Antibiotics","Unilateral",1.06,-0.21703370425659
"410",-0.233821848230837,-0.357027133634758,-0.12033786450292,"Damoiseaux","Antibiotics","Bilateral",1.08,-0.357027133634758
"412",-0.0670614472648988,-0.216037554311894,0.0777731923094186,"Damoiseaux","Antibiotics","Unilateral",1.1,-0.216037554311894
"414",-0.23273900234077,-0.355439448124688,-0.119625096815889,"Damoiseaux","Antibiotics","Bilateral",1.12,-0.355439448124688
"416",-0.0671251012993581,-0.215206422241398,0.0768486704913094,"Damoiseaux","Antibiotics","Unilateral",1.14,-0.215206422241398
"418",-0.23165369324046,-0.353952696554095,-0.11882211473069,"Damoiseaux","Antibiotics","Bilateral",1.16,-0.353952696554095
"420",-0.0671797445395084,-0.214531149137754,0.0760899798891941,"Damoiseaux","Antibiotics","Unilateral",1.18,-0.214531149137754
"422",-0.230565967020877,-0.352567645875386,-0.117927946681522,"Damoiseaux","Antibiotics","Bilateral",1.2,-0.352567645875386
"424",-0.0672256451621646,-0.214002764981235,0.0754884732873698,"Damoiseaux","Antibiotics","Unilateral",1.22,-0.214002764981235
"426",-0.229475869954936,-0.351284795811896,-0.116941880278856,"Damoiseaux","Antibiotics","Bilateral",1.24,-0.351284795811896
